"Climate Normals 1981-2010 Station Data"

"Metadata including Station Name, Province, Latitude, Longitude, Elevation, Climate ID, WMO ID, TC ID"
"STATION_NAME","PROVINCE","LATITUDE","LONGITUDE","ELEVATION","CLIMATE_ID","WMO_ID","TC_ID"
"*YELLOWKNIFE A","NT"," 62°27'46.000"" N","114°26'25.000"" W","205.7 m","2204100","71936","YZF"
"* This station meets WMO standards for temperature and precipitation."

"Legend"
"A = WMO ""3 and 5 rule"" (i.e. no more than 3 consecutive and no more than 5 total missing for either temperature or precipitation)"
"B = At least 25 years"
"C = At least 20 years"
"D = At least 15 years"

"1981 to 2010 Canadian Climate Normals station data"
" ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year","Code"
"Temperature"
">= 25 cm","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","A"
"Days with Precipitation"
">= 0.2 mm","10.7","10.0","8.4","5.0","6.6","7.6","9.6","10.5","11.2","13.4","14.4","11.2","118.5","A"
">= 5 mm","0.46","0.41","0.59","0.93","1.2","1.6","2.3","2.6","2.2","1.7","1.2","0.50","15.6","A"
">= 10 mm","0.04","0.07","0.11","0.11","0.33","0.81","0.93","1.1","0.93","0.48","0.08","0.08","5.0","A"
">= 25 mm","0.0","0.0","0.0","0.0","0.0","0.15","0.19","0.07","0.04","0.0","0.0","0.0","0.45","A"
"Days with Snow Depth"
">= 1 cm","31.0","28.3","31.0","25.3","2.4","0.0","0.0","0.0","0.31","12.6","29.7","31.0","191.5","C"
">= 5 cm","30.9","28.3","31.0","23.6","0.96","0.0","0.0","0.0","0.15","6.4","25.8","30.5","177.6","C"
">= 10 cm","30.4","28.2","31.0","21.3","0.28","0.0","0.0","0.0","0.08","2.8","19.8","28.8","162.6","C"
">= 20 cm","24.2","24.9","30.1","15.6","0.0","0.0","0.0","0.0","0.0","0.21","7.6","20.1","122.7","C"
"Wind"
"Speed (km/h)","10.7","11.6","12.7","13.7","14.1","13.4","12.6","12.9","13.7","14.3","13.3","11.2","12.8","A"
"Most Frequent Direction","E","E","E","E","E","S","S","S","E","E","E","E","E","A"
"Maximum Hourly Speed (km/h)","72.0","61.0","61.0","64.0","64.0","68.0","64.0","64.0","72.0","64.0","64.0","57.0","72.0",""
"Date (yyyy/dd)","1957/13","1989/26","1994/27","1960/05","1963/23","1955/19","1962/03","1973/18","1957/07","1959/15","1956/23","1999/24","1957/13"," "
"Direction of Maximum Hourly Speed","NW","NW","NW","NW","NE","N","N","NE","W","NW","NW","NW","NW",""
"Maximum Gust Speed (km/h)","105.0","98.0","74.0","93.0","87.0","89.0","85.0","80.0","105.0","93.0","113.0","80.0","113.0",""
"Date (yyyy/dd)","1957/15","1990/28","1994/27","1956/19","1959/22","1987/13","1962/03","1973/18","1957/07","1993/27","1956/23","1968/07","1956/23"," "
